"movie_id","movie_name","movie_distributor","movie_genre"
"Romantic-Comedy_2003_4","Just Married","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2003_5","Intolerable Cruelty","Universal","Romantic-Comedy"
"Romantic-Comedy_2003_6","Two Weeks Notice","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2003_7","Down with Love","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2003_8","Love Don't Cost a Thing","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2003_9","Maid in Manhattan","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2003_10","Deliver Us From Eva","Focus Features","Romantic-Comedy"
"Romantic-Comedy_2003_11","My Boss's Daughter","Miramax/Dimension","Romantic-Comedy"
"Romantic-Comedy_2003_12","A Guy Thing","MGM","Romantic-Comedy"
"Romantic-Comedy_2003_13","My Big Fat Greek Wedding","IFC Films","Romantic-Comedy"
"Romantic-Comedy_2003_14","Gigli","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2003_15","L'auberge espagnole","","Romantic-Comedy"
"Romantic-Comedy_2003_16","Anything Else","Dreamworks SKG","Romantic-Comedy"
"Romantic-Comedy_2003_17","Nez Rouge","Christal Films","Romantic-Comedy"
"Romantic-Comedy_2003_18","I Capture the Castle","Samuel Goldwyn Films","Romantic-Comedy"
"Romantic-Comedy_2003_19","The Bread, My Sweet","Panorama Entertai…","Romantic-Comedy"
"Romantic-Comedy_2003_20","Jet Lag","Miramax","Romantic-Comedy"
"Romantic-Comedy_2003_21","Passionada","Samuel Goldwyn Films","Romantic-Comedy"
"Romantic-Comedy_2003_22","Bollywood/Hollywood","Magnolia Pictures","Romantic-Comedy"
"Romantic-Comedy_2003_23","Brown Sugar","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2003_24","Out of Control","","Romantic-Comedy"
"Romantic-Comedy_2003_25","Pursuit of Happiness","","Romantic-Comedy"
"Romantic-Comedy_2003_26","Lan se da men","Strand","Romantic-Comedy"
"Romantic-Comedy_2004_1","50 First Dates","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2004_2","The Princess Diaries 2: Roy…","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2004_3","Along Came Polly","Universal","Romantic-Comedy"
"Romantic-Comedy_2004_4","Shall We Dance?","Miramax","Romantic-Comedy"
"Romantic-Comedy_2004_5","A Cinderella Story","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2004_6","Something's Gotta Give","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2004_7","Bridget Jones: The Edge Of …","Universal","Romantic-Comedy"
"Romantic-Comedy_2004_8","The Prince & Me","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2004_9","Little Black Book","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2004_10","Laws of Attraction","New Line","Romantic-Comedy"
"Romantic-Comedy_2004_11","Win a Date with Tad Hamilton!","Dreamworks SKG","Romantic-Comedy"
"Romantic-Comedy_2004_12","Wimbledon","Universal","Romantic-Comedy"
"Romantic-Comedy_2004_13","The Girl Next Door","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2004_14","Breakin' All the Rules","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2004_15","Chasing Liberty","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2004_16","First Daughter","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2004_17","Love Actually","Universal","Romantic-Comedy"
"Romantic-Comedy_2004_18","Love Don't Cost a Thing","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2004_19","Mujhse Shaadi Karogi","Zee Studios","Romantic-Comedy"
"Romantic-Comedy_2004_20","Hum Tum","Yash Raj Films","Romantic-Comedy"
"Romantic-Comedy_2004_21","Touch of Pink","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2004_22","Love Me If You Dare","Paramount Vantage","Romantic-Comedy"
"Romantic-Comedy_2004_23","Nez Rouge","Christal Films","Romantic-Comedy"
"Romantic-Comedy_2004_24","Kyun! Ho Gaya Na...","","Romantic-Comedy"
"Romantic-Comedy_2004_25","Flavors","Net Effect","Romantic-Comedy"
"Romantic-Comedy_2004_26","Seeing Other People","Lantern Lane Ente…","Romantic-Comedy"
"Romantic-Comedy_2004_27","Intolerable Cruelty","Universal","Romantic-Comedy"
"Romantic-Comedy_2004_28","The Bread, My Sweet","Panorama Entertai…","Romantic-Comedy"
"Romantic-Comedy_2004_29","Cowards Bend the Knee","Zeitgeist","Romantic-Comedy"
"Romantic-Comedy_2004_30","Easy","Magic Lamp","Romantic-Comedy"
"Romantic-Comedy_2004_31","Perfect Opposites","","Romantic-Comedy"
"Romantic-Comedy_2004_32","Swing","RMH Media/Dominio…","Romantic-Comedy"
"Romantic-Comedy_2004_33","Lan se da men","Strand","Romantic-Comedy"
"Romantic-Comedy_2005_1","Hitch","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2005_2","Are We There Yet?","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2005_3","Just Like Heaven","Dreamworks SKG","Romantic-Comedy"
"Romantic-Comedy_2005_4","Must Love Dogs","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2005_5","The Wedding Date","Universal","Romantic-Comedy"
"Romantic-Comedy_2005_6","Prime","Universal","Romantic-Comedy"
"Romantic-Comedy_2005_7","The Perfect Man","Universal","Romantic-Comedy"
"Romantic-Comedy_2005_8","Broken Flowers","Focus Features","Romantic-Comedy"
"Romantic-Comedy_2005_9","Undiscovered","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2005_10","Shall We Dance?","Miramax","Romantic-Comedy"
"Romantic-Comedy_2005_11","Little Manhattan","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2005_12","Deewane Huye Paagal","UTV Communications","Romantic-Comedy"
"Romantic-Comedy_2005_13","Bridget Jones: The Edge Of …","Universal","Romantic-Comedy"
"Romantic-Comedy_2005_14","Side Effects","Sky Island","Romantic-Comedy"
"Romantic-Comedy_2005_15","Girl Play","Wolfe Releasing","Romantic-Comedy"
"Romantic-Comedy_2006_1","The Break-Up","Universal","Romantic-Comedy"
"Romantic-Comedy_2006_2","Failure to Launch","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2006_3","The Holiday","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2006_4","She's the Man","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2006_5","Just My Luck","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2006_6","The Last Kiss","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2006_7","Scoop","Focus/Rogue Pictures","Romantic-Comedy"
"Romantic-Comedy_2006_8","Phat Girlz","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2006_9","Boynton Beach Club","Wingate Distribution","Romantic-Comedy"
"Romantic-Comedy_2006_10","Imagine Me & You","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2006_11","The Oh in Ohio","Cyan","Romantic-Comedy"
"Romantic-Comedy_2006_12","Adam & Steve","TLA Releasing","Romantic-Comedy"
"Romantic-Comedy_2006_13","Seres Queridos","Magnolia Pictures","Romantic-Comedy"
"Romantic-Comedy_2006_14","Confetti","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2006_15","Pyar Ke Side Effects","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2006_16","Quand la mer monte...","New Yorker","Romantic-Comedy"
"Romantic-Comedy_2006_17","April's Shower","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2006_18","Sleeping Dogs Lie","IDP/Goldwyn/Roadside","Romantic-Comedy"
"Romantic-Comedy_2006_19","My First Wedding","Indican Pictures","Romantic-Comedy"
"Romantic-Comedy_2006_20","Zerophilia","Microangelo Enter…","Romantic-Comedy"
"Romantic-Comedy_2007_1","Knocked Up","Universal","Romantic-Comedy"
"Romantic-Comedy_2007_2","Enchanted","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2007_3","Why Did I Get Married?","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2007_4","Music and Lyrics","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2007_5","Dan in Real Life","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2007_6","License to Wed","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2007_7","No Reservations","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2007_8","The Heartbreak Kid","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2007_9","Good Luck Chuck","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2007_10","Daddy's Little Girls","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2007_11","P.S. I Love You","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2007_12","Waitress","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2007_13","Becoming Jane","Miramax","Romantic-Comedy"
"Romantic-Comedy_2007_14","Catch and Release","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2007_15","The Holiday","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2007_16","I Think I Love My Wife","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2007_17","The Perfect Holiday","Yari Film Group R…","Romantic-Comedy"
"Romantic-Comedy_2007_18","The Ex","MGM","Romantic-Comedy"
"Romantic-Comedy_2007_19","Salaam-e-Ishq (A Tribute to…","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2007_20","Namastey London","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2007_21","Partner","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2007_22","Broken English","Magnolia Pictures","Romantic-Comedy"
"Romantic-Comedy_2007_23","Cheeni Kum","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2007_24","Angel-A","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2007_25","Americanizing Shelley","Rocky Mountain Pi…","Romantic-Comedy"
"Romantic-Comedy_2007_26","David & Layla","Newroz Films","Romantic-Comedy"
"Romantic-Comedy_2007_27","Dedication","Weinstein/Dimension","Romantic-Comedy"
"Romantic-Comedy_2007_28","Puccini for Beginners","Strand","Romantic-Comedy"
"Romantic-Comedy_2007_29","Blind Dating","Samuel Goldwyn Films","Romantic-Comedy"
"Romantic-Comedy_2007_30","The Treatment","New Yorker","Romantic-Comedy"
"Romantic-Comedy_2007_31","Gray Matters","Yari Film Group R…","Romantic-Comedy"
"Romantic-Comedy_2007_32","Falling for Grace","Slowhand Cinema","Romantic-Comedy"
"Romantic-Comedy_2007_33","Gringo Wedding","Self Distributed","Romantic-Comedy"
"Romantic-Comedy_2007_34","The Good Night","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2007_35","American Fusion","Wildcat Releasing","Romantic-Comedy"
"Romantic-Comedy_2008_1","What Happens in Vegas...","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2008_2","27 Dresses","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2008_3","Made of Honor","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2008_4","Definitely, Maybe","Universal","Romantic-Comedy"
"Romantic-Comedy_2008_5","Leatherheads","Universal","Romantic-Comedy"
"Romantic-Comedy_2008_6","P.S. I Love You","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2008_7","Ghost Town","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2008_8","Smart People","Miramax","Romantic-Comedy"
"Romantic-Comedy_2008_9","Enchanted","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2008_10","Then She Found Me","ThinkFilm","Romantic-Comedy"
"Romantic-Comedy_2008_11","Sukkar banat","Roadside Attractions","Romantic-Comedy"
"Romantic-Comedy_2008_12","Bachna Ae Haseeno","Yash Raj Films","Romantic-Comedy"
"Romantic-Comedy_2008_13","Noah's Arc: Jumping the Broom","Logo Features","Romantic-Comedy"
"Romantic-Comedy_2008_14","Dan in Real Life","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2008_15","Kismat Konnection","UTV Communications","Romantic-Comedy"
"Romantic-Comedy_2008_16","Elsa & Fred","Mitropoulos Films","Romantic-Comedy"
"Romantic-Comedy_2008_17","The Other End of the Line","MGM","Romantic-Comedy"
"Romantic-Comedy_2008_18","The Perfect Holiday","Yari Film Group R…","Romantic-Comedy"
"Romantic-Comedy_2008_19","I Can't Think Straight","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2008_20","Kiss the Bride","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2008_21","The Hottie and the Nottie","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2008_22","Antarctica","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2008_23","David & Layla","Newroz Films","Romantic-Comedy"
"Romantic-Comedy_2008_24","Tru Loved","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2008_25","Jack and Jill vs. the World","Lantern Lane Ente…","Romantic-Comedy"
"Romantic-Comedy_2009_1","The Proposal","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2009_2","He's Just Not That Into You","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2009_3","The Ugly Truth","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2009_4","It’s Complicated","Universal","Romantic-Comedy"
"Romantic-Comedy_2009_5","Ghosts of Girlfriends Past","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2009_6","Confessions of a Shopaholic","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2009_7","All About Steve","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2009_8","(500) Days of Summer","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2009_9","Did You Hear About the Morg…","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2009_10","New in Town","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2009_11","My Life in Ruins","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2009_12","Post Grad","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2009_13","Whatever Works","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2009_14","Easy Virtue","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2009_15","Love Aaj Kal","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2009_16","Kambakkht Ishq","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2009_17","Management","Samuel Goldwyn Films","Romantic-Comedy"
"Romantic-Comedy_2009_18","Un baiser s'il vous plaît","Music Box Films","Romantic-Comedy"
"Romantic-Comedy_2009_19","White On Rice","Variance Films","Romantic-Comedy"
"Romantic-Comedy_2009_20","The Answer Man","Magnolia Pictures","Romantic-Comedy"
"Romantic-Comedy_2009_21","I Hate Valentine's Day","IFC Films","Romantic-Comedy"
"Romantic-Comedy_2009_22","The Bride & The Grooms","Sumbadhat Product…","Romantic-Comedy"
"Romantic-Comedy_2009_23","Waiting for Dublin","Cinema Libre","Romantic-Comedy"
