"movie_id","movie_name","movie_distributor","movie_genre"
"Drama_2000_107","Traffic","USA Films","Drama"
"Drama_2000_108","Yi Yi","WellSpring","Drama"
"Drama_2000_109","Solas","","Drama"
"Drama_2000_110","Une Liaison pornographique","Fine Line","Drama"
"Drama_2000_111","Thirteen Days","New Line","Drama"
"Drama_2000_112","Baise-moi","","Drama"
"Drama_2000_113","Beau Travail","New Yorker","Drama"
"Drama_2000_114","Tumbleweeds","Fine Line","Drama"
"Drama_2000_115","Before Night Falls","Fine Line","Drama"
"Drama_2000_116","The Tic Code","","Drama"
"Drama_2000_117","Bulandi","","Drama"
"Drama_2000_118","The War Zone","Lot 47 Films","Drama"
"Drama_2000_119","Left Luggage","Castle Hill Produ…","Drama"
"Drama_2000_120","Cleopatra's Second Husband","Indican Pictures","Drama"
"Drama_2000_121","Mercy Streets","","Drama"
"Drama_2000_122","The Limey","Artisan","Drama"
"Drama_2000_123","The House of Mirth","Sony Pictures Cla…","Drama"
"Drama_2000_124","The Silence","New Yorker","Drama"
"Drama_2000_125","Pola X","","Drama"
"Drama_2000_126","Shadow of the Vampire","Lionsgate","Drama"
"Drama_2000_127","Un pont entre deux rives","Phaedra Cinema","Drama"
"Drama_2000_128","Tigerland","20th Century Fox","Drama"
"Drama_2000_129","Hum to Mohabbt Karega","","Drama"
"Drama_2000_130","The Messenger: The Story of…","Sony Pictures","Drama"
"Drama_2000_131","La ciudad","Zeitgeist","Drama"
"Drama_2000_132","Boricua's Bond","Focus Features","Drama"
"Drama_2000_133","Boys Life 3","Strand","Drama"
"Drama_2000_134","Music of the Heart","Miramax","Drama"
"Drama_2000_135","The King of Masks","Goldwyn Entertain…","Drama"
"Drama_2000_136","Flawless","MGM","Drama"
"Drama_2000_137","Panic","Roxie Releasing","Drama"
"Drama_2000_138","Le grand bleu","Sony Pictures","Drama"
"Drama_2000_139","Rosetta","USA Films","Drama"
"Drama_2000_140","Beefcake","Strand","Drama"
"Drama_2000_141","Felicia's Journey","Artisan","Drama"
"Drama_2000_142","Titanic Town","","Drama"
"Drama_2000_143","Earth","Zeitgeist","Drama"
"Drama_2000_144","à bout de souffle","Films Around the …","Drama"
"Drama_2000_145","Luminous Motion","","Drama"
"Drama_2000_146","Light It Up","20th Century Fox","Drama"
"Drama_2000_147","Pollock","Sony Pictures Cla…","Drama"
"Drama_2000_148","Animal Factory","","Drama"
"Drama_2000_149","Madadayo","WinStar Cinema","Drama"
"Drama_2000_150","Himalaya - l'enfance d'un chef","Kino International","Drama"
"Drama_2000_151","Burlesk King","Strand","Drama"
"Drama_2000_152","Last Night","Lionsgate","Drama"
"Drama_2000_153","Boesman and Lena","Kino International","Drama"
"Drama_2000_154","Wings of Courage","Sony Pictures Cla…","Drama"
"Drama_2000_155","The Thomas Crown Affair","MGM","Drama"
"Drama_2000_156","Wandafuru raifu","Artistic License","Drama"
"Drama_2000_157","Diary of a Chambermaid","","Drama"
"Drama_2000_158","Chunhyang","Lot 47 Films","Drama"
"Drama_2000_159","The Autumn Heart","Arrow Releasing","Drama"
"Drama_2000_160","Family Tree","","Drama"
"Drama_2000_161","All About Eve","20th Century Fox","Drama"
"Drama_2000_162","Claire Dolan","New Yorker","Drama"
"Drama_2000_163","Harem Suare","","Drama"
"Drama_2000_164","The Visit","","Drama"
"Drama_2000_165","Babymother","Fine Line","Drama"
"Drama_2000_166","Followers","","Drama"
"Drama_2000_167","Steam: The Turkish Bath","Strand","Drama"
"Drama_2000_168","Le Chal Apne Sang","Eros Entertainment","Drama"
"Drama_2000_169","The Trial of Old Drum","","Drama"
"Drama_2000_170","Eastside","","Drama"
"Drama_2001_1","Cast Away","20th Century Fox","Drama"
"Drama_2001_2","Traffic","USA Films","Drama"
"Drama_2001_3","Save the Last Dance","Paramount Pictures","Drama"
"Drama_2001_4","Artificial Intelligence: AI","Warner Bros.","Drama"
"Drama_2001_5","Training Day","Warner Bros.","Drama"
"Drama_2001_6","Chocolat","Miramax","Drama"
"Drama_2001_7","Blow","New Line","Drama"
"Drama_2001_8","Enemy at the Gates","Paramount Pictures","Drama"
"Drama_2001_9","K-PAX","Universal","Drama"
"Drama_2001_10","Ali","Sony Pictures","Drama"
"Drama_2001_11","Finding Forrester","Sony Pictures","Drama"
"Drama_2001_12","Hardball","Paramount Pictures","Drama"
"Drama_2001_13","A Beautiful Mind","Universal","Drama"
"Drama_2001_14","Thirteen Days","New Line","Drama"
"Drama_2001_15","Riding in Cars with Boys","Sony Pictures","Drama"
"Drama_2001_16","Baby Boy","Sony Pictures","Drama"
"Drama_2001_17","Captain Corelli's Mandolin","Miramax","Drama"
"Drama_2001_18","Sweet November","Warner Bros.","Drama"
"Drama_2001_19","Hearts in Atlantis","Warner Bros.","Drama"
"Drama_2001_20","Angel Eyes","Warner Bros.","Drama"
"Drama_2001_21","The Majestic","Warner Bros.","Drama"
"Drama_2001_22","The Pledge","Warner Bros.","Drama"
"Drama_2001_23","The Last Castle","Dreamworks SKG","Drama"
"Drama_2001_24","Rock Star","Warner Bros.","Drama"
"Drama_2001_25","crazy/beautiful","Walt Disney","Drama"
"Drama_2001_26","O (Othello)","Lionsgate","Drama"
"Drama_2001_27","3000 Miles to Graceland","Warner Bros.","Drama"
"Drama_2001_28","Life as a House","New Line","Drama"
"Drama_2001_29","Pollock","Sony Pictures Cla…","Drama"
"Drama_2001_30","Shadow of the Vampire","Lionsgate","Drama"
"Drama_2001_31","The Man Who Wasn't There","USA Films","Drama"
"Drama_2001_32","Sexy Beast","Fox Searchlight","Drama"
"Drama_2001_33","Mulholland Drive","Universal","Drama"
"Drama_2001_34","Amores Perros","Lionsgate","Drama"
"Drama_2001_35","You Can Count on Me","Paramount Vantage","Drama"
"Drama_2001_36","Billy Elliot","Focus Features","Drama"
"Drama_2001_37","The Shipping News","Miramax","Drama"
"Drama_2001_38","In the Bedroom","Miramax","Drama"
"Drama_2001_39","Left Behind","Cloud Ten Pictures","Drama"
"Drama_2001_40","The Anniversary Party","Fine Line","Drama"
"Drama_2001_41","Before Night Falls","Fine Line","Drama"
"Drama_2001_42","Quills","Fox Searchlight","Drama"
"Drama_2001_43","The Widow of St. Pierre","Lionsgate","Drama"
"Drama_2001_44","Songcatcher","Lionsgate","Drama"
"Drama_2001_45","The Golden Bowl","Lionsgate","Drama"
"Drama_2001_46","Malena","Miramax","Drama"
"Drama_2001_47","The House of Mirth","Sony Pictures Cla…","Drama"
"Drama_2001_48","Kabhi Khushi Kabhie Gham","Yash Raj Films","Drama"
"Drama_2001_49","In the Mood for Love","Focus Features","Drama"
"Drama_2001_50","Waking Life","Fox Searchlight","Drama"
"Drama_2001_51","Himalaya - l'enfance d'un chef","Kino International","Drama"
"Drama_2001_52","Gabriela","Power Point Films","Drama"
"Drama_2001_53","Innocence","IDP Distribution","Drama"
"Drama_2001_54","Remember the Titans","Walt Disney","Drama"
"Drama_2001_55","China: The Panda Adventure","IMAX Films","Drama"
"Drama_2001_56","Carman: The Champion","8X Entertainment","Drama"
"Drama_2001_57","Under the Sand","WellSpring","Drama"
"Drama_2001_58","Divided We Fall","Sony Pictures Cla…","Drama"
"Drama_2001_59","Men of Honor","20th Century Fox","Drama"
"Drama_2001_60","The Road Home","Sony Pictures Cla…","Drama"
"Drama_2001_61","L.I.E.","Lot 47 Films","Drama"
"Drama_2001_62","The Center of the World","Artisan","Drama"
"Drama_2001_63","The Luzhin Defence","Sony Pictures","Drama"
"Drama_2001_64","Liam","Lionsgate","Drama"
"Drama_2001_65","Encounter in the Third Dime…","nWave Pictures","Drama"
"Drama_2001_66","Left Luggage","Castle Hill Produ…","Drama"
"Drama_2001_67","Der Krieger und die Kaiserin","Sony Pictures Cla…","Drama"
"Drama_2001_68","An American Rhapsody","Paramount Vantage","Drama"
"Drama_2001_69","Requiem for a Dream","Artisan","Drama"
"Drama_2001_70","The Business of Strangers","IFC Films","Drama"
"Drama_2001_71","Chunhyang","Lot 47 Films","Drama"
"Drama_2001_72","Yi Yi","WellSpring","Drama"
"Drama_2001_73","The Man Who Cried","Focus Features","Drama"
"Drama_2001_74","Faithless","IDP Distribution","Drama"
"Drama_2001_75","Asoka","First Look","Drama"
"Drama_2001_76","Panic","Roxie Releasing","Drama"
"Drama_2001_77","The Caveman's Valentine","Focus Features","Drama"
"Drama_2001_78","Lumumba","Zeitgeist","Drama"
"Drama_2001_79","Focus","Paramount Vantage","Drama"
"Drama_2001_80","The Legend of Rita","Kino International","Drama"
"Drama_2001_81","The Other Side of Heaven","Excel Entertainment","Drama"
