"movie_id","movie_name","movie_distributor","movie_genre"
"Thriller-or-Suspense_2002_18","The Truth About Charlie","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_19","Enigma","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_20","Impostor","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_21","Pandora's Box","Kino International","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_22","Heaven","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_23","The Salton Sea","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_24","Domestic Disturbance","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_25","Narc","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_26","Road","","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_27","From Hell","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_28","The Bank","Cinema Guild","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_29","Interview with the Assassin","","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_30","Don’t Say a Word","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_31","Gangster No. 1","IFC Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_32","Revolution#9","","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_33","Blackwoods","ThinkFilm","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_1","The Recruit","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_2","Identity","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_3","Runaway Jury","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_4","Phone Booth","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_5","Out of Time","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_6","Paycheck","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_7","Basic","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_8","Cold Creek Manor","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_9","The Life of David Gale","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_10","Narc","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_11","Swimming Pool","Focus Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_12","The Order","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_13","In the Cut","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_14","à la folie... pas du tout","Samuel Goldwyn Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_15","Le cercle rouge","","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_16","The Statement","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_17","The Hero: Love Story of a Spy","","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_18","Signs","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_19","No Good Deed","Mac Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_20","The Bank","Cinema Guild","Thriller-or-Suspense"
"Thriller-or-Suspense_2003_21","Night of Destiny","ArtMattan Product…","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_1","The Bourne Supremacy","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_2","The Village","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_3","Man on Fire","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_4","The Forgotten","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_5","The Manchurian Candidate","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_6","The Butterfly Effect","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_7","Secret Window","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_8","Taking Lives","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_9","Cellular","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_10","Open Water","Lionsgate","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_11","Twisted","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_12","Paparazzi","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_13","Paycheck","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_14","Godsend","Lionsgate","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_15","Wicker Park","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_16","Spartan","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_17","The Machinist","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_18","The Final Cut","Lionsgate","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_19","The Statement","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_20","Runaway Jury","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_21","I'll Sleep When I'm Dead","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_22","Enduring Love","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_23","Cavale","Magnolia Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_24","Close Your Eyes","","Thriller-or-Suspense"
